{{0,{3.94050837428077,12.349914847729938,13.370156319443057,10.97496182159236,8.45571098872904,10.752907744838073,4.664584643285193,6.090504892797375,7.735117886468459,8.57703894441009}},
{1,{3.9653824363822268,12.331778181607346,13.377715047983484,10.998824743940453,8.475335749718365,10.765648304069197,4.688190461855385,6.154729528995316,7.688881321164116,8.62378774448828}},
{2,{3.9964952917748953,12.313593495872693,13.389110254131921,11.021978736249379,8.49520062996723,10.77024080689592,4.706320579148668,6.210475016918693,7.650669937478756,8.654349876991803}},
{3,{4.031517587004149,12.290623332783264,13.40392126783506,11.049081738979142,8.518301045625439,10.787761427569436,4.7001038844136795,6.246635428030049,7.634020813950149,8.68901012977017}},
{4,{4.052369271543007,12.28490000718875,13.414584101465456,11.065782010785478,8.530656603619356,10.792411661068826,4.7010581483692135,6.271080147132745,7.626361752142589,8.71032414611806}},
{5,{4.067033640453482,12.27067930648092,13.414627828350753,11.086135735319282,8.54306419238922,10.812480469914197,4.689445758757991,6.276639830388361,7.623998787638503,8.73909345901774}},
{6,{4.095308941286731,12.277202451064092,13.425784539631378,11.110830264150616,8.542242801945848,10.83637069233093,4.699689685280917,6.296803752439182,7.620602095403688,8.762420451612867}},
{7,{4.118213836573487,12.27134464152941,13.419067135393252,11.123876275171877,8.536370730232072,10.828838671906878,4.704665719067115,6.309557788935967,7.609178597281197,8.772620538674897}},
{8,{4.128756285366008,12.26986071656431,13.42873399576388,11.117234991069708,8.527906673950659,10.835595391080595,4.696599973100196,6.313165562082234,7.616370226763005,8.769279045575587}},
{9,{4.148660866924408,12.282044949067425,13.451679503394864,11.12404105058476,8.527974840645937,10.843803495390919,4.710448866279961,6.340377798389749,7.614616040541471,8.772447638736601}}}
